Phase,Week,기간,대분류,중분류,기능,우선순위,담당_FE,담당_BE,API수,UX_구현,Checkpoint,의존성,비고
Phase1,Week1,12/30-1/5,공통,헤더,로고 + 네비게이션,P0,Y,N,0,터치 타겟 44px 이상,개발환경 100% 작동,-,
Phase1,Week1,12/30-1/5,공통,레이아웃,반응형 기본 구조,P0,Y,N,0,Mobile/Desktop 분기,-,-,Tailwind 세팅
Phase1,Week1,12/30-1/5,공통,Skeleton,공통 Skeleton 컴포넌트,P0,Y,N,0,Card/List/Page 3종,-,-,⭐ 로딩 UX
Phase1,Week1,12/30-1/5,인증,로그인,JWT 인증 기본,P0,Y,Y,2,Enter키 지원 + 에러 메시지,-,-,Spring Security
Phase1,Week1,12/30-1/5,모임,Seed 데이터,테스트 모임 2개 + 멤버 5명,P0,N,Y,2,-,테스트 모임 DB 존재,-,SNS 테스트용 필수
Phase1,Week1,12/30-1/5,환경,Django,프로젝트 초기화 + pandas,P0,N,Y,0,-,Spring↔Django 통신 성공,-,
Phase2,Week2,1/6-1/12,모임 상세-멤버,피드,피드 목록 조회,P0,Y,Y,2,Skeleton + Pull-to-Refresh,-,-,페이지네이션 20개
Phase2,Week2,1/6-1/12,모임 상세-멤버,피드,빈 피드 상태,P0,Y,N,0,첫 글 작성 CTA,-,-,⭐ 이탈 방지
Phase2,Week2,1/6-1/12,모임 상세-멤버,피드,글 작성 (텍스트),P0,Y,Y,2,FAB 버튼 (56px),-,-,
Phase2,Week2,1/6-1/12,모임 상세-멤버,피드,공지사항 핀,P0,Y,Y,2,-,-,-,CP 전용
Phase2,Week2,1/6-1/12,모임 상세-멤버,피드,좋아요 토글,P0,Y,Y,2,Optimistic UI + 44px 타겟,-,-,
Phase2,Week3,1/13-1/19,모임 상세-멤버,피드,댓글/대댓글,P0,Y,Y,4,-,피드 Full Flow 작동,Phase2-Week2,2단계까지
Phase2,Week3,1/13-1/19,모임 상세-멤버,피드,이미지 업로드,P1,Y,Y,2,Progress Bar + 실패 시 Fallback,이미지 업로드 성공,Phase2-Week2,S3 연동
Phase2,Week3,1/13-1/19,모임 상세-멤버,피드,Skeleton UI,P0,Y,N,0,피드 카드 Skeleton,-,Phase2-Week2,2026 트렌드
Phase3,Week4,1/20-1/26,홈,온보딩,신규 유저 웰컴,P0,Y,N,0,모임 없음 → 추천/충전 CTA,-,-,⭐ 신규 이탈 방지
Phase3,Week4,1/20-1/26,홈,온보딩,인기 모임 추천,P0,Y,Y,2,Skeleton Cards,-,-,
Phase3,Week4,1/20-1/26,어카운트,잔액 카드,가용/락 잔액 표시,P0,Y,Y,2,Animated Counter + 0원 시 CTA,-,-,
Phase3,Week4,1/20-1/26,어카운트,충전,충전 금액 선택,P0,Y,N,0,프리셋 버튼 48px,-,-,
Phase3,Week4,1/20-1/26,어카운트,충전,토스페이 결제,P0,Y,Y,2,전체 화면 로딩,-,-,PG 연동
Phase3,Week4,1/20-1/26,어카운트,충전,충전 후 복귀,P0,Y,N,0,returnUrl로 가입 화면 복귀,-,-,⭐ 이탈 방지 핵심
Phase3,Week4,1/20-1/26,모임 생성,전체,3단계 폼,P0,Y,Y,4,Step Indicator,-,-,
Phase3,Week4,1/20-1/26,모임 생성,운영 설정,보증금 미리보기,P0,Y,N,0,자동 계산 표시,-,-,⭐ 인지 부하 감소
Phase3,Week4,1/20-1/26,모임 상세-공개,모임 정보,정보 조회,P0,Y,Y,2,Skeleton Page,-,-,
Phase3,Week4,1/20-1/26,모임 상세-공개,모임 정보,비용 계산기,P0,Y,N,0,납입+보증금 = 필요 금액,-,-,⭐ 인지 부하 감소
Phase3,Week4,1/20-1/26,모임 상세-공개,가입 신청,가입 확인 모달 + 보증금,P0,Y,Y,2,56px 고정 하단 버튼,충전→가입→보증금락 Full Flow,-,핵심 차별화
Phase3,Week4,1/20-1/26,모임 상세-공개,가입 신청,잔액 부족 분기,P0,Y,N,0,충전 유도 + 복귀 약속,-,-,⭐ 이탈 방지
Phase3,Week4,1/20-1/26,나의 모임,모임 리스트,가입한 모임 카드,P0,Y,Y,2,알림 뱃지 (새 글/투표),-,-,
Phase3,Week4,1/20-1/26,나의 모임,모임 리스트,빈 상태,P0,Y,N,0,모임 찾기 CTA,-,-,⭐ 이탈 방지
Phase4,Week5-전반,1/27-1/31,모임 상세-멤버,투표,투표 생성/참여 API,P0,N,Y,4,-,,Phase3,장부 테스트용 선행
Phase4,Week5-전반,1/27-1/31,모임 상세-멤버,장부,기본 CRUD API,P0,N,Y,4,-,,Phase4-투표 API,
Phase4,Week5-전반,1/27-1/31,모임 상세-멤버,장부-투표,승인 → 장부 연동,P0,N,Y,0,-,투표승인→장부기록 테스트,Phase4-장부 API,핵심 연동
Phase4,Week5-후반,2/1-2/5,모임 상세-멤버,장부,Django 분석 연동,P0,Y,Y,4,분석 실패 Fallback,,Phase4-전반,Spring→Django 프록시
Phase4,Week5-후반,2/1-2/5,모임 상세-멤버,장부,Recharts 차트,P0,Y,N,0,차트 실패 → 숫자 Fallback,,Phase4-Django,Line + Pie
Phase4,Week5-후반,2/1-2/5,모임 상세-멤버,장부,요약 카드 UI,P0,Y,N,0,Skeleton Card,,Phase4-Django,
Phase4,Week5-후반,2/1-2/5,모임 상세-멤버,장부,빈 장부 상태,P0,Y,N,0,첫 지출 요청 안내,,Phase4-Django,⭐ 이탈 방지
Phase4,Week5-후반,2/1-2/5,모임 상세-멤버,장부,거래 내역 타임라인,P0,Y,Y,2,무한스크롤 + Skeleton,장부 차트 정상 렌더링,Phase4-전반,
Phase5,Week6,2/6-2/9,모임 상세-멤버,투표,진행 중 투표 리스트,P0,Y,Y,2,마감 임박 강조 UI,,Phase4,
Phase5,Week6,2/6-2/9,모임 상세-멤버,투표,빈 투표 상태,P0,Y,N,0,CP 권한 안내,,Phase4,⭐ 이탈 방지
Phase5,Week6,2/6-2/9,모임 상세-멤버,투표,투표 상세 모달,P0,Y,N,0,Skeleton Modal,,Phase5-리스트,
Phase5,Week6,2/6-2/9,모임 상세-멤버,투표,찬성/반대 버튼,P0,Y,Y,2,56px 버튼 + Optimistic UI,,Phase5-상세,Progress Bar
Phase5,Week7,2/10-2/14,모임 상세-멤버,투표,지출 요청 폼,P0,Y,Y,2,멤버에게 권한 안내,,Phase5-Week6,CP 전용
Phase5,Week7,2/10-2/14,모임 상세-멤버,투표,과반수 판정 로직,P0,N,Y,0,-,,Phase5-Week6,일반<100k:과반 / 대형:2/3
Phase5,Week7,2/10-2/14,모임 상세-멤버,투표,결과 → 장부 연동,P0,Y,Y,0,장부 연결 링크,지출요청→투표→승인→장부 Full Flow,Phase5-Week6,Full Flow 검증
Phase5,Week7,2/10-2/14,모임 상세-멤버,투표,완료된 투표 이력,P0,Y,Y,2,-,투표 UI 정상 렌더링,Phase5-Week6,
Phase6,Week8,2/15-2/20,통합 테스트,시나리오,SNS 시연 테스트,P0,Y,Y,0,-,,-,피드→댓글→좋아요
Phase6,Week8,2/15-2/20,통합 테스트,시나리오,온보딩 시연 테스트,P0,Y,Y,0,신규 유저 플로우 검증,,-,⭐ 첫 사용자 경험
Phase6,Week8,2/15-2/20,통합 테스트,시나리오,가입 시연 테스트,P0,Y,Y,0,충전→가입 복귀 검증,,-,충전→가입→보증금락
Phase6,Week8,2/15-2/20,통합 테스트,시나리오,장부 시연 테스트,P0,Y,Y,0,Fallback UI 검증,,-,Django 분석→차트
Phase6,Week8,2/15-2/20,통합 테스트,시나리오,투표 시연 테스트,P0,Y,Y,0,-,시연 성공률 100%,-,요청→투표→승인→장부
Phase6,Week8,2/15-2/20,통합 테스트,Empty State,모든 빈 상태 검증,P0,Y,N,0,CTA 동작 확인,,-,⭐ 이탈 방지
Phase6,Week8,2/15-2/20,통합 테스트,에러 복구,모든 에러 경로 검증,P0,Y,Y,0,재시도/Fallback 동작,Spring↔Django 안정성,-,
Phase6,Week8,2/15-2/20,통합 테스트,UI,에러 핸들링 Toast,P0,Y,N,0,구체적 에러 메시지,,-,
Phase6,Week8,2/15-2/20,통합 테스트,UI,반응형 테스트,P0,Y,N,0,터치 타겟 검증,,-,Mobile + Desktop
Phase6,Week8,2/15-2/20,통합 테스트,접근성,키보드 네비게이션,P1,Y,N,0,Tab/Enter 동작,,-,
Phase7,Week9,2/21-2/25,리허설,대본,시연 대본 작성,P0,N,N,0,-,,-,6분
Phase7,Week9,2/21-2/25,리허설,연습,리허설 5회 이상,P0,N,N,0,-,,-,
Phase7,Week9,2/21-2/25,리허설,백업,시연 영상 준비,P0,N,N,0,-,,-,장애 대비
Post-Demo,-,-,홈,통합 피드,내 모임 최신 소식,P2,Y,Y,4,-,,-,
Post-Demo,-,-,모임 탐색,검색,Elasticsearch 연동,P2,Y,Y,4,-,,-,
Post-Demo,-,-,어카운트,출금,출금 신청,P2,Y,Y,4,-,,-,
Post-Demo,-,-,어카운트,보증금 해제,완주/탈퇴 처리,P2,Y,Y,4,-,,-,
Post-Demo,-,-,인증,소셜 로그인,Google/Kakao,P2,Y,Y,4,-,,-,
Post-Demo,-,-,모임 상세-멤버,피드,무한 스크롤,P2,Y,N,0,-,,-,
Post-Demo,-,-,알림,푸시,WebSocket 알림,P2,Y,Y,4,-,,-,
Post-Demo,-,-,접근성,스크린리더,ARIA 라벨 추가,P2,Y,N,0,-,,-,
